"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Gilpin Township","2,480","0","0","0","0","0","2","1","1","0","0"
"Girard","2,932","5","0","1","1","3","71","7","64","0","0"
"Glassport","4,511","20","1","0","2","17","163","48","112","3","1"
"Glenolden","7,264","24","0","0","7","17","170","36","125","9","0"
"Granville Township","4,933","3","0","2","1","0","92","7","82","3","0"
"Greencastle","4,135","8","0","1","2","5","77","17","56","4","1"
"Greenfield Township, Blair County","3,775","3","0","1","0","2","129","22","107","0","1"
"Greensburg","15,271","35","1","1","5","28","444","72","365","7","4"
"Green Tree","4,407","8","0","0","5","3","57","12","45","0","0"
"Greenville","6,057","14","0","2","4","8","160","48","110","2","2"
"Greenwood Township","2,083","0","0","0","0","0","0","0","0","0","0"
"Grove City","7,670","3","0","0","1","2","110","36","71","3","1"
"Halifax","840","0","0","0","0","0","4","3","1","0","0"
"Hamburg","4,260","12","0","0","2","10","77","10","62","5","0"
"Hamiltonban Township","2,834","3","0","0","0","3","5","0","5","0","0"
"Hampden Township","27,801","11","0","3","4","4","304","36","262","6","0"
"Hampton Township","17,361","14","0","1","0","13","148","13","132","3","0"
"Hanover","15,234","32","0","3","10","19","484","34","439","11","10"
"Hanover Township, Luzerne County","11,014","15","0","2","6","7","186","30","145","11","5"
"Hanover Township, Washington County","2,747","4","0","0","0","4","11","6","3","2","0"
"Harleton","263","0","0","0","0","0","6","4","2","0","0"
"Harmar Township","3,088","4","0","0","0","4","83","8","68","7","1"
"Harmony Township","3,016","5","0","0","1","4","94","10","77","7","0"
"Harrisburg","47,509","780","14","63","446","257","2,235","666","1,377","192","28"
"Harrisville","882","0","0","0","0","0","6","2","4","0","0"
"Harveys Lake","2,952","0","0","0","0","0","70","19","48","3","0"
"Hastings","1,285","13","0","0","0","13","41","8","31","2","2"
"Hatboro","7,166","9","0","0","0","9","96","20","72","4","0"
"Hatfield Township","20,276","23","0","5","4","14","282","30","243","9","6"
"Haverford Township","48,500","14","0","0","11","3","513","60","451","2","2"
"Hawley","1,301","0","0","0","0","0","14","1","13","0","0"
"Hazleton","21,705","90","1","9","26","54","509","130","325","54","0"
"Heidelberg Township, Berks County","1,787","1","0","0","1","0","9","2","7","0","0"
