"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Tishomingo","3,266","9","1","3","0","5","63","23","39","1","0"
"Tonkawa","3,194","8","0","2","0","6","103","25","74","4","0"
"Tryon","452","1","0","0","0","1","8","2","6","0","0"
"Tulsa","393,412","4,304","54","252","1,381","2,617","21,355","7,146","11,857","2,352","203"
"Tuttle","6,450","31","0","4","0","27","167","32","126","9","3"
"Valliant","743","6","0","0","0","6","17","7","10","0","0"
"Verdigris","3,245","1","0","1","0","0","29","11","18","0","0"
"Vian","1,562","3","0","0","0","3","25","7","17","1","0"
"Vinita","6,115","16","0","0","0","16","156","27","117","12","3"
"Wagoner","8,270","71","1","3","3","64","425","108","302","15","4"
"Walters","2,468","1","0","0","0","1","13","4","9","0","0"
"Warner2","1,560","4","0","0","0","4","32","17","11","4","0"
"Warr Acres","9,579","71","1","5","14","51","455","134","279","42","2"
"Washington","570","0","0","0","0","0","5","2","1","2","1"
"Watonga","5,833","15","0","1","2","12","50","15","30","5","0"
"Waynoka","906","0","0","0","0","0","13","5","8","0","0"
"Weatherford1","10,551","","0","4","1","","311","88","215","8","0"
"Weleetka","903","6","0","0","1","5","51","18","31","2","0"
"Westville","1,658","7","0","1","0","6","43","15","24","4","2"
"Wetumka","1,416","1","0","0","0","1","35","15","18","2","0"
"Wewoka","3,320","10","0","1","1","8","177","64","103","10","0"
"Wilburton","2,928","13","0","0","1","12","65","20","44","1","1"
"Wilson","1,669","14","0","0","0","14","30","10","16","4","1"
"Woodward","12,535","17","0","10","1","6","446","165","265","16","1"
"Wright City","788","3","0","1","0","2","15","2","12","1","0"
"Wynnewood","2,286","2","1","0","0","1","37","2","33","2","0"
"Yale2","1,504","4","0","1","0","3","22","9","10","3","0"
"Yukon","24,023","12","0","1","0","11","381","74","291","16","2"
