"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"St. Clair","5,401","11","0","5","","0","6","66","9","57","0","2"
"St. Clair Shores","60,157","111","2","24","","17","68","764","145","541","78","1"
"Sterling Heights","131,604","222","0","33","","27","162","2,026","221","1,650","155","12"
"St. Ignace","2,435","4","0","0","","0","4","70","8","61","1","0"
"St. Johns","7,983","4","0","2","","0","2","90","18","68","4","0"
"St. Joseph","8,247","14","0","3","","4","7","231","24","201","6","2"
"St. Joseph Township","9,919","17","0","3","","3","11","184","26","150","8","0"
"St. Louis","7,395","14","0","10","","1","3","76","8","67","1","0"
"Stockbridge","1,217","7","0","3","","0","4","15","2","13","0","0"
"Sturgis","10,913","49","0","18","","2","29","319","41","263","15","6"
"Sumpter Township","9,332","10","0","1","","0","9","105","32","59","14","0"
"Swartz Creek","5,607","9","0","2","","1","6","87","23","63","1","0"
"Sylvan Lake","1,761","3","0","0","","1","2","34","6","27","1","0"
"Tawas","4,543","7","0","2","","0","5","102","12","89","1","0"
"Taylor","61,527","343","2","52","","70","219","1,797","435","1,160","202","10"
"Tecumseh","8,407","9","0","1","","0","8","86","11","69","6","0"
"Thetford Township","6,788","3","0","1","","1","1","17","6","9","2","0"
"Thomas Township","11,718","13","0","2","","0","11","154","17","136","1","0"
"Three Rivers","7,743","37","0","4","","5","28","313","22","279","12","2"
"Tittabawassee Township","9,835","9","0","2","","0","7","75","15","56","4","0"
"Traverse City","15,105","46","1","7","","3","35","278","34","238","6","1"
"Trenton","18,404","37","0","8","","2","27","210","32","155","23","1"
"Troy","83,279","50","1","8","","10","31","1,359","156","1,133","70","1"
"Tuscarora Township","2,989","0","0","0","","0","0","101","5","96","0","0"
"Ubly","828","2","0","2","","0","0","7","1","6","0","0"
"Unadilla Township","3,449","2","0","1","","0","1","24","4","19","1","1"
"Union City","1,584","3","0","2","","0","1","48","12","36","0","1"
"Utica","4,783","8","0","6","","0","2","172","12","150","10","1"
"Van Buren Township","28,269","73","2","6","","15","50","585","116","414","55","1"
"Vassar","2,625","3","0","1","","0","2","22","3","17","2","0"
"Vernon","759","0","0","0","","0","0","4","2","2","0","1"
"Vicksburg","3,146","3","0","0","","0","3","51","6","44","1","0"
"Walker","24,443","31","2","7","","7","15","589","91","481","17","1"
"Walled Lake","7,158","7","1","2","","0","4","64","15","43","6","2"
"Warren","135,080","641","4","99","","160","378","3,427","742","2,144","541","20"
"Waterford Township","73,308","84","2","27","","21","34","930","164","714","52","1"
"Waterloo Township","2,833","3","0","0","","0","3","8","4","4","0","0"
"Watervliet","1,706","6","0","4","","0","2","22","4","18","0","0"
"Wayland","4,077","15","0","7","","0","8","56","9","44","3","0"
"Wayne","17,067","120","0","13","","32","75","387","134","201","52","5"
"West Bloomfield Township","66,222","50","0","5","","5","40","514","83","419","12","3"
"West Branch","2,089","5","1","2","","0","2","55","7","47","1","0"
"Westland","82,246","297","2","46","","66","183","1,906","361","1,352","193","5"
"White Cloud","1,385","9","0","3","","0","6","41","8","33","0","1"
"Whitehall","2,697","4","0","2","","0","2","51","5","45","1","1"
"White Lake Township","30,940","20","0","5","","3","12","375","40","319","16","2"
"White Pigeon","1,513","7","0","4","","1","2","29","3","25","1","0"
"Wixom","13,804","16","0","3","","3","10","271","32","205","34","0"
"Wolverine Lake","4,405","7","0","2","","0","5","31","7","20","4","1"
"Woodhaven","12,583","13","0","6","","2","5","237","19","187","31","0"
"Wyandotte","25,082","43","0","7","","10","26","572","107","429","36","4"
"Wyoming","74,603","289","5","49","","41","194","1,518","313","1,066","139","13"
"Yale","1,916","6","0","1","","0","5","26","5","21","0","0"
"Ypsilanti","19,901","164","2","28","","38","96","684","195","448","41","7"
"Zeeland","5,630","18","0","2","","0","16","136","65","70","1","0"
"Zilwaukee","1,608","0","0","0","","0","0","5","0","5","0","0"
