"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"West Liberty","3,269","3","0","1","","0","2","16","4","12","0","0"
"West Point","765","2","0","0","","0","2","27","5","16","6","0"
"Wheelwright","799","0","0","0","","0","0","0","0","0","0","0"
"Whitesburg","2,038","0","0","0","","0","0","6","2","2","2","0"
"Wilder","3,098","5","0","0","","0","5","51","4","44","3","0"
"Williamsburg","5,314","9","0","3","","4","2","68","13","48","7","0"
"Williamstown","3,958","2","0","0","","2","0","78","16","56","6","1"
"Wilmore","6,124","6","0","4","","0","2","63","13","49","1","0"
"Winchester","18,387","42","1","6","","19","16","835","113","680","42","0"
"Worthington","1,593","0","0","0","","0","0","1","0","1","0","0"
