"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"St. Cloud","66,366","261","0","47","","53","161","2,510","382","1,973","155","11"
"St. Francis","7,349","16","0","7","","4","5","130","9","117","4","1"
"Stillwater","18,770","8","0","1","","2","5","269","27","228","14","0"
"St. James","4,540","8","0","5","","0","3","103","29","67","7","0"
"St. Joseph","6,678","0","0","0","","0","0","20","0","17","3","0"
"St. Louis Park","47,957","65","0","5","","23","37","1,304","156","1,092","56","3"
"St. Paul","297,984","1,974","11","181","","654","1,128","10,383","2,330","6,045","2,008","119"
"St. Paul Park","5,346","12","0","2","","3","7","117","16","90","11","0"
"St. Peter","11,502","10","1","3","","0","6","179","33","140","6","0"
"Thief River Falls","8,740","22","0","14","","1","7","302","40","252","10","0"
"Tracy","2,116","0","0","0","","0","0","16","3","12","1","0"
"Two Harbors","3,648","8","0","3","","0","5","35","5","29","1","0"
"Vadnais Heights","13,182","15","0","4","","1","10","313","39","236","38","2"
"Virginia","8,650","46","1","7","","7","31","523","100","385","38","2"
"Wabasha","2,489","3","0","0","","0","3","49","11","37","1","0"
"Wadena","4,145","8","0","2","","0","6","55","3","44","8","1"
"Waite Park","6,668","19","0","5","","4","10","693","35","638","20","0"
"Warroad","1,779","0","0","0","","0","0","43","3","37","3","0"
"Waseca","9,329","11","0","2","","0","9","189","16","170","3","1"
"Wayzata","4,363","2","0","2","","0","0","104","23","78","3","0"
"Wells","2,256","0","0","0","","0","0","14","2","11","1","0"
"West Hennepin","5,497","6","0","1","","0","5","33","3","29","1","0"
"West St. Paul","19,808","70","2","8","","18","42","1,043","123","853","67","5"
"Wheaton","1,367","2","0","0","","0","2","30","5","21","4","2"
"White Bear Lake","24,802","31","0","6","","6","19","656","130","483","43","6"
"White Bear Township","11,498","5","0","1","","0","4","182","27","144","11","1"
"Willmar","19,696","54","0","17","","6","31","552","52","475","25","3"
"Windom","4,562","13","0","6","","0","7","55","11","41","3","1"
"Winnebago","1,386","6","0","4","","0","2","13","1","12","0","0"
"Winona","27,546","25","0","4","","1","20","72","12","58","2","0"
"Winsted","2,294","1","0","0","","0","1","30","4","25","1","0"
"Woodbury","66,539","36","0","9","","7","20","1,177","147","990","40","2"
"Worthington","12,984","19","1","3","","7","8","201","36","155","10","1"
"Wyoming","7,737","14","0","2","","0","12","92","6","81","5","0"
"Zumbrota","3,360","0","0","0","","0","0","48","16","26","6","0"
