"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Prosper","13,916","17","0","4","","0","13","199","57","136","6","1"
"Queen City","1,475","18","1","0","","1","16","44","17","27","0","0"
"Quitman","1,811","3","2","0","","0","1","25","10","15","0","0"
"Ralls","1,909","1","1","0","","0","0","1","1","0","0","0"
"Rancho Viejo","2,502","0","0","0","","0","0","10","2","8","0","0"
"Ranger","2,446","9","0","1","","0","8","60","30","28","2","0"
"Raymondville","11,113","123","0","4","","6","113","564","156","392","16","14"
"Red Oak","11,352","12","0","0","","7","5","338","36","280","22","0"
"Refugio","2,854","5","0","0","","1","4","49","17","30","2","1"
"Reno","3,248","2","0","0","","0","2","49","9","40","0","0"
"Richardson","105,744","179","1","22","","75","81","2,405","374","1,885","146","7"
"Richland Hills","8,044","19","0","1","","4","14","243","63","153","27","0"
"Richmond","11,921","48","1","5","","8","34","332","75","245","12","0"
"Richwood","3,700","4","0","2","","0","2","49","10","38","1","0"
"Riesel","1,019","1","0","0","","0","1","12","2","10","0","0"
"Rio Grande City","14,065","34","0","6","","7","21","346","61","243","42","0"
"Rio Hondo","2,412","4","0","2","","0","2","58","12","46","0","0"
"River Oaks","7,664","11","0","0","","5","6","148","44","95","9","0"
"Roanoke","6,808","15","0","1","","6","8","171","16","152","3","0"
"Robinson","11,488","29","0","1","","1","27","120","18","99","3","1"
"Robstown","11,742","133","0","0","","11","122","513","158","341","14","1"
"Rockdale","5,374","21","1","4","","1","15","180","39","130","11","1"
"Rockport","10,208","31","0","3","","4","24","537","113","407","17","0"
"Rockwall","41,688","41","0","7","","5","29","760","86","613","61","0"
"Rollingwood","1,532","0","0","0","","0","0","10","1","7","2","0"
"Roma","9,962","25","2","3","","4","16","121","19","84","18","1"
"Roman Forest","1,842","1","0","0","","1","0","33","4","27","2","0"
"Roscoe","1,306","1","0","0","","0","1","7","2","4","1","2"
"Rosenberg","33,598","92","0","16","","20","56","725","174","513","38","1"
"Round Rock","112,199","140","0","29","","39","72","2,189","247","1,891","51","5"
