"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Sanford","29,805","79","6","","0","36","37","1,014","207","776","31","2"
"Scotland Neck","2,000","23","2","","2","3","16","66","27","33","6","0"
"Selma","6,275","58","1","","4","26","27","289","121","164","4","3"
"Shallotte","3,729","16","0","","4","2","10","186","42","134","10","2"
"Shelby","20,330","146","4","","4","32","106","716","217","466","33","1"
"Siler City","8,237","29","0","","5","8","16","386","84","287","15","0"
"Smithfield","11,702","85","0","","3","25","57","672","103","548","21","5"
"Snow Hill","1,594","6","0","","0","0","6","44","6","38","0","0"
"Southern Pines","13,161","75","0","","3","18","54","521","132","378","11","0"
"Southport","3,213","2","0","","0","2","0","74","7","65","2","0"
"Spencer","3,290","35","3","","1","5","26","132","34","92","6","0"
"Spring Hope","1,325","4","0","","1","3","0","16","3","13","0","0"
"Spring Lake","13,301","87","1","","2","37","47","607","177","408","22","5"
"Stallings","14,848","18","0","","0","4","14","186","50","122","14","2"
"Stanley","3,634","5","0","","1","2","2","102","29","66","7","1"
"Star","874","3","0","","2","0","1","19","3","13","3","0"
"Statesville","25,643","161","3","","9","41","108","1,150","283","823","44","0"
"St. Pauls","2,437","8","0","","0","1","7","98","31","67","0","0"
"Sunset Beach","3,754","1","0","","0","0","1","95","53","39","3","1"
"Surf City","2,127","13","0","","0","1","12","120","12","105","3","0"
"Swansboro","3,074","8","0","","1","1","6","87","21","64","2","0"
"Sylva","2,607","13","0","","1","0","12","178","29","139","10","1"
"Tabor City","3,952","36","1","","1","5","29","154","33","110","11","2"
"Tarboro","11,328","21","0","","1","6","14","421","78","341","2","2"
"Taylorsville","2,058","3","0","","1","1","1","130","39","91","0","0"
"Thomasville","27,012","101","1","","5","32","63","1,059","266","730","63","4"
"Trent Woods","4,226","2","0","","0","0","2","27","5","21","1","0"
"Troutman","2,487","4","0","","1","1","2","82","26","53","3","0"
