"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Westborough","18,773","13","0","1","","0","12","195","41","150","4","0"
"West Boylston","7,971","4","0","1","","2","1","135","38","96","1","0"
"West Bridgewater","7,018","9","0","2","","2","5","111","34","71","6","1"
"West Brookfield","3,784","1","0","0","","0","1","19","5","13","1","0"
"Westfield","41,348","86","0","13","","11","62","533","107","410","16","7"
"Westford","23,654","12","0","4","","0","8","105","29","72","4","0"
"Westminster","7,455","10","0","0","","1","9","108","11","95","2","1"
"West Newbury","4,498","7","0","0","","0","7","21","4","16","1","1"
"Weston","12,015","3","0","1","","0","2","42","13","25","4","0"
"Westport","15,785","21","0","2","","2","17","221","73","137","11","2"
"West Springfield","28,767","124","0","14","","28","82","1,290","236","962","92","2"
"West Tisbury","2,908","5","0","0","","1","4","24","8","14","2","0"
"Westwood","14,978","17","0","5","","2","10","124","27","89","8","1"
"Weymouth","55,996","134","0","12","","16","106","677","117","528","32","3"
"Whately","1,508","1","0","1","","0","0","9","1","8","0","0"
"Whitman","14,786","53","0","10","","6","37","175","46","122","7","3"
"Wilbraham","14,541","11","0","1","","0","10","150","36","105","9","0"
"Williamsburg","2,462","2","0","0","","0","2","20","9","11","0","0"
"Williamstown","7,561","3","0","2","","0","1","143","17","125","1","1"
"Wilmington","23,410","28","0","1","","4","23","250","37","204","9","0"
"Winchendon","10,628","37","0","4","","1","32","237","25","201","11","2"
"Winchester","22,313","5","1","1","","0","3","151","14","132","5","1"
"Winthrop","18,314","59","0","6","","2","51","182","58","113","11","0"
"Woburn","39,401","71","0","5","","10","56","514","62","432","20","0"
"Worcester","183,248","1,762","6","7","","402","1,347","5,604","1,414","3,824","366","2"
"Wrentham","11,375","10","0","1","","0","9","206","25","171","10","3"
"Yarmouth","23,683","198","0","10","","11","177","579","202","358","19","4"
