"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Vadnais Heights","12,949","13","0","1","6","6","302","29","233","40","7"
"Virginia","8,838","47","0","19","3","25","602","102","474","26","1"
"Wabasha","2,589","6","0","3","0","3","76","9","67","0","0"
"Wadena","4,154","10","0","2","0","8","153","13","135","5","0"
"Waite Park","6,900","20","0","4","6","10","500","44","437","19","3"
"Warroad","1,686","0","0","0","0","0","67","3","61","3","0"
"Waseca","9,526","21","0","5","0","16","318","45","258","15","0"
"Wayzata","4,001","0","0","0","0","0","152","27","120","5","0"
"Wells","2,430","0","0","0","0","0","26","8","17","1","0"
"West Hennepin","5,569","7","0","1","0","6","66","10","47","9","2"
"West St. Paul","19,303","65","0","13","25","27","1,247","109","1,056","82","3"
"Wheaton","1,521","3","0","0","0","3","22","5","17","0","0"
"White Bear Lake","24,201","29","0","2","11","16","870","215","589","66","3"
"Willmar","18,319","64","0","23","7","34","900","123","749","28","5"
"Windom","4,488","9","0","0","0","9","89","18","63","8","0"
"Winnebago","1,444","1","0","0","0","1","29","11","16","2","2"
"Winona","26,616","29","0","3","4","22","677","124","535","18","2"
"Winsted","2,363","0","0","0","0","0","47","12","34","1","2"
"Woodbury","50,332","33","2","7","5","19","1,237","157","1,022","58","5"
"Worthington","11,156","19","0","2","4","13","251","53","183","15","0"
"Wyoming","3,849","1","0","0","0","1","85","18","66","1","0"
"Zumbrota","2,964","4","0","0","0","4","102","14","80","8","3"
