"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Gladstone","26,083","48","1","3","","15","29","513","89","382","42","2"
"Glasgow","1,102","0","0","0","","0","0","5","1","4","0","0"
"Glendale","5,920","3","0","0","","0","3","57","5","48","4","0"
"Glen Echo Park","160","1","0","0","","0","1","1","1","0","0","0"
"Goodman","1,244","0","0","0","","0","0","16","7","3","6","1"
"Gower","1,498","3","0","1","","2","0","22","3","17","2","0"
"Grain Valley","13,081","16","0","5","","1","10","175","25","135","15","0"
"Granby","2,170","8","0","0","","0","8","36","20","14","2","0"
"Grandin","244","0","0","0","","0","0","0","0","0","0","0"
"Grandview","24,630","106","2","15","","31","58","814","220","500","94","5"
"Greendale","654","0","0","0","","0","0","23","8","12","3","0"
"Greenfield","1,299","2","0","0","","1","1","23","4","19","0","0"
"Greenville","490","0","0","0","","0","0","11","5","5","1","0"
"Greenwood","5,331","4","0","0","","0","4","35","13","18","4","0"
"Hallsville","1,544","2","0","0","","1","1","31","4","26","1","0"
"Hamilton","1,722","2","0","0","","0","2","30","5","24","1","1"
"Hannibal","17,784","74","1","13","","11","49","1,041","135","874","32","1"
"Harrisonville","9,999","16","0","5","","2","9","375","57","301","17","1"
"Hartville","606","0","0","0","","0","0","4","0","3","1","0"
"Hawk Point","673","1","0","0","","0","1","31","1","30","0","0"
"Hayti","2,890","15","0","2","","4","9","238","50","182","6","2"
"Hayti Heights","613","0","0","0","","0","0","3","0","3","0","0"
"Hazelwood","25,670","95","1","4","","30","60","907","142","723","42","0"
"Henrietta","363","3","0","0","","0","3","1","0","1","0","0"
"Herculaneum","3,756","2","0","0","","0","2","71","8","61","2","1"
"Hermann","2,380","8","0","1","","0","7","55","5","48","2","0"
"Higginsville","4,730","3","0","1","","0","2","73","8","59","6","0"
"Highlandville","916","1","0","0","","0","1","5","1","3","1","0"
"Hillsboro","2,949","4","0","1","","2","1","76","12","59","5","0"
"Hillsdale","1,513","20","0","1","","1","18","36","20","12","4","1"
"Holcomb","630","0","0","0","","0","0","0","0","0","0","0"
"Holden","2,333","4","0","2","","0","2","98","16","80","2","0"
"Hollister","4,415","13","0","2","","0","11","100","18","75","7","0"
"Holt","457","0","0","0","","0","0","9","2","6","1","0"
"Holts Summit","3,401","5","0","1","","0","4","82","25","57","0","0"
"Hornersville","658","3","0","0","","0","3","12","7","5","0","2"
"Houston","2,083","0","0","0","","0","0","142","21","116","5","0"
"Howardville","370","1","0","0","","0","1","0","0","0","0","0"
"Humansville","1,039","6","0","0","","0","6","14","6","8","0","0"
"Hurley","173","0","0","0","","0","0","0","0","0","0","0"
"Iberia","736","0","0","0","","0","0","1","0","1","0","0"
"Independence","117,381","543","7","51","","122","363","7,108","1,167","5,149","792","30"
"Indian Point","521","1","0","0","","0","1","1","0","0","1","0"
"Iron Mountain Lake","718","5","0","0","","0","5","10","2","6","2","0"
"Ironton","1,416","1","0","0","","0","1","23","7","12","4","0"
"Jackson","14,307","16","0","2","","3","11","267","48","211","8","0"
"Jasper","898","8","0","0","","2","6","36","18","18","0","1"
"Jefferson City","43,193","200","0","7","","36","157","1,446","235","1,162","49","6"
"Jennings","14,752","159","7","6","","48","98","782","258","449","75","5"
"Jonesburg","744","3","0","0","","0","3","13","2","8","3","0"
"Joplin","49,272","240","1","35","","55","149","3,925","617","3,055","253","14"
"Kahoka","2,039","0","0","0","","0","0","8","2","5","1","0"
"Kansas City","465,514","5,864","99","377","","1,662","3,726","24,648","6,412","13,949","4,287","207"
"Kearney","8,977","12","0","3","","1","8","133","15","109","9","1"
"Kennett","10,897","40","0","1","","11","28","728","154","541","33","1"
"Kimberling City","2,325","7","0","0","","0","7","39","12","25","2","0"
"Kimmswick","157","0","0","0","","0","0","0","0","0","0","0"
"King City","1,024","0","0","0","","0","0","0","0","0","0","0"
"Kinloch","299","15","2","0","","1","12","15","9","3","3","0"
"Kirksville","17,529","43","1","2","","3","37","504","115","377","12","3"
"Kirkwood","27,557","20","1","5","","4","10","556","48","498","10","0"
"Knob Noster","2,804","7","0","1","","0","6","53","13","37","3","1"
"Ladue","8,548","8","0","0","","2","6","131","21","109","1","0"
"La Grange","932","1","0","0","","0","1","7","2","3","2","0"
"Lake Lotawana","1,956","0","0","0","","0","0","37","9","26","2","0"
"Lake Ozark","1,623","4","0","0","","0","4","62","2","60","0","0"
"Lakeshire","1,427","3","0","0","","0","3","19","11","8","0","0"
"Lake St. Louis","14,733","10","0","3","","3","4","260","34","219","7","0"
"Lake Tapawingo","728","0","0","0","","0","0","13","5","7","1","0"
"Lake Waukomis","897","0","0","0","","0","0","11","1","9","1","0"
"Lake Winnebago","1,129","0","0","0","","0","0","3","0","3","0","0"
"Lamar","4,511","13","0","5","","0","8","139","19","117","3","0"
"La Monte","1,141","0","0","0","","0","0","3","0","3","0","0"
"La Plata","1,359","1","0","0","","0","1","7","5","2","0","0"
"Lathrop","2,042","3","0","0","","0","3","40","9","28","3","0"
"Laurie","920","6","0","0","","0","6","26","6","20","0","0"
"Lawson","2,418","8","0","0","","0","8","89","11","71","7","0"
"Leadington","410","1","0","0","","0","1","7","2","3","2","0"
"Leadwood","1,246","15","0","0","","0","15","24","10","11","3","0"
"Leasburg","342","0","0","0","","0","0","0","0","0","0","0"
"Lebanon","14,550","70","0","8","","2","60","684","91","574","19","0"
"Lee's Summit","92,765","91","0","18","","15","58","1,958","267","1,582","109","0"
"Leeton","582","0","0","0","","0","0","3","0","3","0","0"
"Liberal","751","1","0","1","","0","0","8","3","5","0","0"
"Liberty","30,000","58","1","8","","10","39","537","106","400","31","6"
"Licking","3,061","2","0","0","","0","2","49","3","44","2","0"
"Lincoln","1,183","3","0","1","","0","2","32","5","24","3","0"
"Linn","1,453","1","0","0","","0","1","14","2","10","2","0"
"Linn Creek","243","0","0","0","","0","0","6","1","4","1","0"
"Lone Jack","1,069","0","0","0","","0","0","16","5","10","1","0"
"Louisiana","3,322","5","0","0","","0","5","15","2","13","0","0"
"Lowry City","617","0","0","0","","0","0","0","0","0","0","0"
"Macon","5,507","9","0","1","","0","8","166","37","125","4","0"
"Malden","4,248","9","0","0","","1","8","84","23","57","4","1"
"Manchester","18,187","9","0","2","","2","5","318","22","289","7","0"
"Mansfield","1,280","2","0","0","","0","2","64","7","55","2","0"
"Maplewood","8,009","22","0","3","","6","13","597","28","544","25","1"
"Marble Hill","1,502","7","0","0","","0","7","51","9","42","0","0"
"Marceline","2,171","33","0","1","","1","31","62","26","32","4","1"
"Marionville","2,207","4","0","0","","1","3","98","18","77","3","0"
"Marshall","13,019","24","0","2","","5","17","305","65","226","14","1"
"Marshfield","6,696","28","0","0","","0","28","311","44","262","5","0"
"Marston","487","1","0","0","","0","1","7","7","0","0","0"
"Marthasville","1,129","0","0","0","","0","0","6","0","6","0","0"
"Martinsburg","306","0","0","0","","0","0","0","0","0","0","0"
"Maryland Heights","27,439","47","0","3","","10","34","563","71","472","20","3"
"Maryville","12,027","33","0","0","","4","29","182","24","151","7","0"
"Matthews","643","3","0","0","","0","3","22","3","18","1","0"
"Maysville","1,123","2","0","0","","0","2","3","1","2","0","0"
"Memphis","1,846","0","0","0","","0","0","17","2","12","3","0"
"Merriam Woods","1,754","0","0","0","","0","0","4","3","0","1","0"
"Mexico","11,564","45","0","4","","8","33","400","86","306","8","1"
"Milan","1,893","5","0","0","","0","5","17","4","11","2","1"
"Miller","694","6","0","1","","0","5","0","0","0","0","0"
"Miner","977","11","0","1","","0","10","60","11","44","5","0"
"Miramiguoa","119","1","0","0","","0","1","0","0","0","0","0"
"Moberly","13,979","29","1","1","","8","19","580","78","488","14","1"
"Moline Acres","2,435","15","0","0","","7","8","155","37","107","11",""
"Monett","8,927","11","0","0","","3","8","462","90","351","21","0"
"Monroe City","2,474","2","0","0","","0","2","38","13","24","1","0"
"Montgomery City","2,779","4","0","0","","0","4","59","12","45","2","0"
"Morehouse","937","1","0","0","","0","1","4","1","2","1","1"
"Morley","691","2","0","0","","1","1","12","1","10","1","0"
"Mosby","196","3","0","1","","0","2","40","6","29","5","0"
"Moscow Mills","2,540","9","0","0","","0","9","23","7","14","2","0"
"Mound City","1,084","0","0","0","","0","0","19","6","12","1","0"
"Mountain Grove","4,741","17","0","0","","0","17","193","30","158","5","0"
