"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Mansfield Township, Burlington County","8,652","3","0","","0","1","2","102","27","70","5","0"
"Mansfield Township, Warren County","7,551","9","0","","3","2","4","186","30","152","4","1"
"Mantoloking","297","0","0","","0","0","0","26","1","25","0","0"
"Mantua Township","15,097","11","0","","0","5","6","269","61","200","8","0"
"Manville","10,412","10","0","","1","3","6","267","35","217","15","1"
"Maple Shade Township","19,291","42","1","","5","17","19","410","147","234","29","1"
"Maplewood Township","24,230","41","0","","0","38","3","485","91","338","56","2"
"Margate City","6,319","5","0","","0","2","3","206","52","152","2","2"
"Marlboro Township","40,190","10","0","","1","0","9","329","68","239","22","3"
"Matawan","8,745","4","0","","0","3","1","89","41","47","1","1"
"Maywood","9,613","6","0","","0","4","2","90","18","68","4","0"
"Medford Lakes","4,196","1","0","","0","0","1","11","2","9","0","2"
"Medford Township","23,285","11","0","","3","3","5","262","65","195","2","5"
"Mendham","5,029","1","0","","0","0","1","26","5","19","2","0"
"Mendham Township","5,908","1","0","","0","0","1","28","8","20","0","0"
"Merchantville","3,824","7","1","","0","2","4","80","13","63","4","0"
"Metuchen","13,748","6","0","","1","1","4","180","22","154","4","0"
"Middlesex","13,787","6","0","","0","4","2","140","27","111","2","0"
"Middle Township","18,861","59","0","","10","10","39","593","113","465","15","3"
"Middletown Township","66,246","43","1","","1","13","28","632","122","494","16","3"
"Midland Park","7,268","2","0","","0","0","2","34","4","29","1","0"
"Millburn Township","20,177","9","1","","0","7","1","473","36","416","21","0"
"Milltown","6,972","0","0","","0","0","0","45","7","38","0","0"
"Millville","28,661","254","0","","13","119","122","2,317","453","1,815","49","3"
"Mine Hill Township","3,691","0","0","","0","0","0","28","9","19","0","1"
"Monmouth Beach","3,280","0","0","","0","0","0","59","18","39","2","0"
"Monroe Township, Gloucester County","36,798","49","1","","2","24","22","824","261","530","33","3"
"Monroe Township, Middlesex County","41,356","9","1","","2","0","6","242","33","196","13","4"
"Montclair","37,962","73","2","","2","33","36","571","195","341","35","5"
"Montgomery Township","22,467","3","1","","0","0","2","103","26","70","7","0"
"Montvale","8,004","3","0","","0","0","3","36","1","33","2","0"
"Montville Township","21,757","5","0","","1","0","4","158","38","112","8","0"
"Moonachie","2,747","4","0","","0","0","4","57","8","46","3","0"
"Moorestown Township","20,706","24","0","","3","11","10","426","45","365","16","1"
"Morris Plains","5,773","3","0","","0","1","2","62","6","56","0","0"
"Morristown","18,552","84","0","","1","43","40","468","79","370","19","1"
"Morris Township","22,640","11","0","","0","2","9","177","42","124","11","0"
"Mountain Lakes","4,311","0","0","","0","0","0","32","6","22","4","0"
"Mountainside","6,815","1","0","","1","0","0","48","10","36","2","0"
"Mount Arlington","5,324","2","0","","0","0","2","41","6","35","0","0"
"Mount Ephraim","4,678","10","0","","0","4","6","171","23","142","6","1"
"Mount Holly Township","9,316","38","0","","1","19","18","283","44","228","11","3"
"Mount Laurel Township","41,839","28","0","","8","13","7","729","151","558","20","3"
"Mount Olive Township","28,611","16","0","","1","4","11","255","60","184","11","0"
"Mullica Township","6,202","5","0","","0","1","4","74","29","43","2","0"
"National Park","3,011","7","0","","0","1","6","61","19","36","6","0"
"Neptune City","4,830","19","0","","0","8","11","219","38","175","6","0"
"Neptune Township","27,856","174","0","","6","74","94","1,220","191","992","37","9"
"Netcong","3,279","7","0","","2","0","5","49","13","34","2","0"
"Newark","278,246","3,516","112","","45","2,433","926","8,965","2,074","3,997","2,894","34"
"New Brunswick","56,542","303","3","","19","165","116","1,665","546","1,032","87","3"
"Newfield","1,538","1","0","","0","0","1","24","9","14","1","1"
"New Hanover Township","8,011","0","0","","0","0","0","7","1","6","0","1"
"New Milford","16,577","2","1","","0","0","1","80","16","63","1","0"
"New Providence","12,463","3","0","","1","1","1","112","24","87","1","0"
"Newton","7,812","7","0","","0","0","7","106","21","84","1","1"
"North Arlington","15,597","12","0","","0","4","8","197","47","131","19","1"
"North Bergen Township","62,436","102","0","","6","43","53","638","135","427","76","2"
"North Brunswick Township","41,425","45","0","","3","15","27","867","190","644","33","2"
"North Caldwell","6,403","1","0","","0","0","1","38","11","24","3","0"
"Northfield","8,647","1","0","","0","0","1","93","17","75","1","0"
"North Hanover Township","7,738","8","0","","3","2","3","53","12","39","2","0"
"North Plainfield","22,030","53","0","","5","20","28","408","121","262","25","1"
"Northvale","4,919","3","0","","0","1","2","19","0","18","1","0"
"North Wildwood","3,973","11","0","","0","1","10","316","28","287","1","1"
"Norwood","5,855","1","0","","0","0","1","22","6","16","0","0"
"Nutley Township","28,660","20","0","","1","6","13","285","58","208","19","1"
"Oakland","12,927","2","0","","0","1","1","80","12","65","3","0"
"Oaklyn","4,023","6","1","","0","1","4","97","21","74","2","0"
"Ocean City","11,473","12","0","","3","3","6","440","88","346","6","0"
"Ocean Gate","2,027","1","0","","0","0","1","38","10","28","0","0"
"Oceanport","5,833","6","0","","0","3","3","113","41","70","2","1"
"Ocean Township, Monmouth County","27,180","50","0","","2","19","29","735","133","588","14","3"
"Ocean Township, Ocean County","8,565","1","0","","0","0","1","81","11","66","4","0"
"Ogdensburg","2,365","1","0","","0","0","1","23","9","11","3","0"
"Old Bridge Township","66,528","47","1","","1","18","27","832","151","635","46","1"
"Old Tappan","5,882","0","0","","0","0","0","15","4","11","0","0"
"Oradell","8,126","2","0","","1","0","1","49","3","44","2","0"
"Orange","30,952","377","6","","5","266","100","871","269","377","225","3"
"Oxford Township","2,459","1","0","","0","0","1","10","0","10","0","0"
"Palisades Park","20,062","19","0","","0","7","12","120","34","78","8","0"
"Palmyra","7,412","25","0","","0","12","13","205","47","149","9","3"
"Paramus","26,628","32","0","","0","27","5","1,315","52","1,228","35","0"
"Park Ridge","8,948","1","0","","1","0","0","28","5","22","1","0"
"Parsippany-Troy Hills Township","53,851","19","1","","0","18","0","444","78","351","15","0"
"Passaic","70,445","512","2","","1","240","269","1,140","279","726","135","2"
"Paterson","145,082","1,555","18","","26","848","663","4,101","1,368","1,984","749","7"
"Paulsboro","6,034","27","0","","0","14","13","187","43","136","8","0"
"Peapack and Gladstone","2,570","0","0","","0","0","0","23","2","19","2","0"
"Pemberton","1,392","3","0","","1","0","2","27","11","16","0","0"
"Pemberton Township","27,949","86","1","","13","21","51","681","296","349","36","7"
"Pennington","2,585","0","0","","0","0","0","5","0","5","0","0"
"Pennsauken Township","35,788","105","1","","6","49","49","1,128","267","758","103","0"
"Penns Grove","5,075","18","0","","1","5","12","144","36","97","11","1"
"Pennsville Township","13,183","12","0","","1","1","10","361","75","283","3","0"
"Pequannock Township","15,580","6","0","","0","3","3","119","27","90","2","0"
"Perth Amboy","52,093","243","1","","10","95","137","1,041","238","663","140","3"
"Phillipsburg","14,619","30","1","","6","11","12","378","128","234","16","3"
"Pine Beach","2,138","0","0","","0","0","0","19","4","14","1","0"
"Pine Hill","10,704","46","1","","2","10","33","274","91","171","12","1"
"Pine Valley","12","0","0","","0","0","0","3","0","3","0","0"
"Piscataway Township","58,259","46","2","","2","14","28","548","137","384","27","3"
"Pitman","8,930","7","2","","0","3","2","109","20","87","2","0"
"Plainfield","50,433","427","9","","9","165","244","1,284","381","807","96","15"
"Pleasantville","20,909","145","0","","8","51","86","424","71","327","26","1"
"Plumsted Township","8,544","12","0","","7","1","4","47","25","19","3","0"
"Pohatcong Township","3,291","4","0","","0","1","3","213","5","205","3","1"
"Point Pleasant","18,458","16","0","","1","2","13","215","45","167","3","0"
"Point Pleasant Beach","4,678","3","0","","0","2","1","177","24","150","3","0"
"Pompton Lakes","11,163","7","0","","0","0","7","120","23","93","4","0"
"Princeton","28,688","17","0","","4","9","4","305","45","259","1","0"
"Prospect Park","5,903","11","1","","1","5","4","140","47","73","20","0"
"Rahway","27,930","50","1","","2","24","23","452","92","317","43","2"
"Ramsey","14,826","14","0","","0","2","12","144","16","121","7","0"
"Randolph Township","25,969","4","0","","0","3","1","172","30","138","4","0"
"Raritan","7,352","6","0","","0","2","4","116","12","100","4","0"
"Raritan Township","21,849","4","1","","1","1","1","189","29","156","4","0"
"Readington Township","15,910","2","0","","0","0","2","163","33","126","4","0"
"Red Bank","12,174","19","0","","4","10","5","264","28","233","3","1"
"Ridgefield","11,340","4","0","","0","2","2","69","10","53","6","0"
"Ridgefield Park","12,923","5","0","","0","0","5","114","16","87","11","1"
"Ridgewood","25,315","8","0","","2","0","6","226","46","179","1","0"
"Ringwood","12,383","5","0","","0","1","4","85","25","59","1","0"
"Riverdale","4,025","1","0","","0","0","1","181","6","175","0","0"
"River Edge","11,517","1","0","","0","0","1","53","14","36","3","0"
"Riverside Township","8,063","24","0","","0","11","13","117","43","67","7","1"
"Riverton","2,798","4","1","","0","1","2","56","21","33","2","0"
"River Vale Township","9,885","9","0","","4","0","5","17","2","15","0","0"
"Robbinsville Township","14,046","6","0","","0","1","5","142","32","109","1","0"
"Rochelle Park Township","5,597","3","0","","0","2","1","56","8","46","2","0"
"Rockaway","6,500","5","0","","2","1","2","47","6","37","4","0"
"Rockaway Township","24,444","11","0","","1","9","1","486","48","427","11","1"
