"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Jourdanton","4,111","2","0","","0","0","2","4","0","4","0","0"
"Junction","2,539","6","0","","0","0","6","36","11","25","0","0"
"Karnes City","3,201","6","0","","0","0","6","76","20","55","1","0"
"Katy","14,837","38","2","7","","12","17","490","63","398","29","1"
"Kaufman","6,865","12","1","","0","5","6","123","48","68","7","0"
"Keene","6,071","4","0","","0","0","4","109","26","77","6","2"
"Keller","42,644","27","1","","5","9","12","390","76","312","2","0"
"Kenedy","3,423","8","0","","0","0","8","219","64","152","3","0"
"Kennedale","7,156","11","0","","0","6","5","177","40","117","20","0"
"Kermit","5,956","18","0","","0","0","18","31","6","19","6","0"
"Kerrville","22,484","48","3","","7","8","30","669","90","555","24","0"
"Kilgore","13,938","53","2","","9","5","37","660","116","510","34","2"
"Killeen","136,539","753","6","","78","170","499","4,791","1,396","3,189","206","50"
"Kingsville","26,198","103","1","","3","19","80","963","281","658","24","2"
"Kirby","8,288","49","3","","1","3","42","188","50","118","20","2"
"Kirbyville","2,158","5","0","","0","0","5","32","9","20","3","0"
"Kountze","2,088","11","0","","0","1","10","46","13","32","1","0"
"Kress","721","0","0","","0","0","0","2","0","2","0","0"
"Kyle","31,732","90","0","","12","6","72","491","75","384","32","1"
"Lacy-Lakeview","6,566","38","0","","8","4","26","247","72","161","14","2"
"La Feria","7,340","7","0","","3","2","2","305","98","207","0","0"
"Lago Vista","6,550","14","1","","1","1","11","85","16","69","0","0"
"La Grange","4,656","4","1","","0","0","3","58","15","36","7","0"
"La Grulla","1,639","5","0","","0","0","5","9","8","1","0","0"
"Laguna Vista","3,179","4","0","","0","0","4","48","15","31","2","0"
"La Joya","4,153","6","0","","0","0","6","27","23","4","0","0"
"Lake Dallas","7,390","15","0","","1","0","14","142","24","106","12","1"
"Lake Jackson","27,273","40","1","","9","12","18","589","125","445","19","2"
"Lakeside","1,357","7","0","","0","1","6","29","12","15","2","0"
"Lakeview, Harris County","6,413","10","1","","0","0","9","71","16","52","3","4"
"Lakeway","12,815","16","0","","2","2","12","166","25","131","10","0"
"Lake Worth","4,710","14","0","","0","8","6","527","124","387","16","0"
"La Marque","14,976","70","1","","5","26","38","960","161","748","51","3"
"Lamesa","9,136","44","0","","5","1","38","414","96","298","20","3"
"Lampasas","6,899","20","0","","3","2","15","286","48","232","6","1"
"Lancaster","38,209","179","2","23","","59","95","1,533","533","848","152","6"
"La Porte","34,671","40","0","","12","9","19","593","117","433","43","7"
"Laredo","247,353","1,027","3","","75","207","742","10,482","1,425","8,685","372","82"
"La Vernia","1,137","3","0","","0","0","3","44","2","42","0","0"
"La Villa","1,978","0","0","","0","0","0","17","13","3","1","0"
"Lavon","2,318","1","0","","0","0","1","17","3","14","0","0"
"League City","89,596","96","2","","14","22","58","1,918","386","1,476","56","1"
"Leander","30,657","26","0","","2","4","20","336","44","277","15","2"
"Leon Valley","10,833","26","0","","7","9","10","826","91","670","65","0"
"Levelland","13,681","67","0","","13","8","46","546","160","362","24","1"
"Lewisville","100,710","243","1","48","","74","120","2,721","501","1,921","299","4"
"Lexington","1,170","6","0","","2","0","4","61","15","46","0","0"
"Liberty","8,857","46","1","","10","7","28","553","92","447","14","1"
"Lindale","5,257","16","0","2","","6","8","186","45","132","9","0"
"Linden","1,964","6","0","","2","1","3","52","17","34","1","0"
"Little Elm","29,958","48","1","","19","6","22","346","78","255","13","2"
"Littlefield","6,368","30","0","","0","6","24","239","93","143","3","5"
"Live Oak","14,541","45","1","","7","10","27","680","48","580","52","1"
"Livingston","5,207","43","0","","5","7","31","309","37","262","10","1"
"Llano","3,249","0","0","0","","0","0","77","29","43","5","1"
"Lockhart","12,971","45","1","","7","5","32","425","91","322","12","1"
"Lone Star","1,553","6","0","","1","2","3","61","16","43","2","0"
"Longview","81,273","451","5","39","","152","255","3,372","630","2,542","200","11"
"Lorena","1,709","1","0","","0","0","1","28","6","20","2","0"
"Lorenzo","1,180","2","0","","0","0","2","8","7","1","0","0"
"Los Fresnos","5,800","7","0","","3","0","4","158","47","106","5","1"
"Lubbock","237,875","1,829","5","","88","388","1,348","11,557","2,608","8,103","846","37"
"Luling","5,612","29","0","","3","5","21","108","18","85","5","0"
"Lumberton","12,081","25","0","7","","4","14","244","46","193","5","0"
"Lyford","2,611","1","0","","0","0","1","44","18","22","4","0"
"Lytle","2,665","0","0","","0","0","0","176","19","153","4","2"
"Madisonville","4,452","17","0","","0","2","15","113","23","81","9","0"
"Magnolia","1,490","9","0","","0","4","5","43","9","31","3","0"
"Malakoff","2,327","13","0","","0","0","13","62","19","38","5","0"
