"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Taylor","2,425","1","0","0","","0","1","14","1","12","1",""
"Thorsby","2,008","3","0","0","","1","2","11","4","7","0",""
"Town Creek","1,080","7","0","0","","0","7","29","12","16","1",""
"Trinity","2,148","5","0","1","","0","4","44","10","28","6",""
"Troy","18,329","132","3","15","","18","96","907","225","630","52",""
"Tuscaloosa","94,126","434","8","44","","161","221","4,512","1,165","3,196","151",""
"Tuscumbia","8,398","47","0","7","","4","36","373","73","265","35",""
"Tuskegee","9,341","82","2","7","","10","63","552","190","317","45",""
"Valley","9,468","79","2","10","","9","58","622","164","408","50",""
"Valley Head","554","1","0","0","","0","1","17","5","10","2",""
"Vance","1,543","4","0","0","","1","3","41","15","22","4",""
"Vestavia Hills","34,103","17","0","0","","6","11","544","116","404","24",""
"Warrior","3,230","9","0","1","","1","7","71","11","50","10",""
"Weaver","3,079","24","1","6","","1","16","115","42","66","7",""
"Wedowee","810","9","0","2","","0","7","30","9","18","3",""
"Wetumpka","7,239","40","0","2","","8","30","409","57","344","8",""
"Winfield","4,672","23","0","1","","1","21","125","26","91","8",""
"Woodstock","1,446","2","0","0","","1","1","32","7","23","2",""
"York","2,436","21","0","2","","1","18","61","21","36","4",""
