"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Manhattan","7,152","3","0","","1","0","2","37","3","34","0","0"
"Maple Park","1,312","2","0","","0","0","2","1","0","1","0","0"
"Marengo","7,572","3","0","","1","0","2","76","14","59","3","1"
"Marine","945","0","0","","0","0","0","7","2","3","2","0"
"Marion","17,349","7","0","","0","7","0","194","150","6","38","12"
"Maroa","1,787","2","0","","1","0","1","12","5","7","0","1"
"Marseilles","5,056","7","0","","1","0","6","102","34","65","3","0"
"Martinsville","1,155","0","0","","0","0","0","25","10","15","0","1"
"Maryville","7,890","6","0","","0","1","5","76","16","60","0","0"
"Mascoutah","7,966","5","1","","1","1","2","58","9","48","1","0"
"Matteson","19,188","73","0","","8","44","21","879","60","768","51","0"
"Mattoon","18,297","41","1","","8","4","28","372","101","267","4","19"
"Maywood","24,184","207","6","","18","90","93","844","295","447","102","6"
"McCook","231","3","0","","1","0","2","38","2","23","13","0"
"McHenry","26,761","37","0","","7","6","24","434","30","395","9","0"
"McLean","828","0","0","","0","0","0","5","3","2","0","0"
"Melrose Park","25,559","43","1","","8","13","21","451","81","291","79","3"
"Mendota","7,409","11","0","","3","0","8","114","33","81","0","0"
"Merrionette Park","1,906","0","0","","0","0","0","43","5","38","0","0"
"Metropolis","6,455","37","0","","2","1","34","208","31","174","3","1"
"Midlothian","14,918","40","0","","4","20","16","314","111","178","25","3"
"Milan","5,093","8","0","","0","1","7","123","27","93","3","1"
"Minonk","2,071","0","0","","0","0","0","26","4","21","1","0"
"Minooka","11,149","4","0","","0","1","3","123","12","111","0","0"
"Mokena","19,130","10","0","","0","5","5","178","28","146","4","7"
"Moline","43,172","121","0","","8","13","100","1,389","235","1,127","27","9"
"Monmouth","9,488","56","0","","9","2","45","373","61","297","15","1"
"Montgomery","19,259","18","0","","6","0","12","365","63","294","8","2"
"Monticello","5,436","7","0","","2","0","5","15","3","11","1","1"
"Morris","13,882","19","0","","4","4","11","358","39","311","8","0"
"Morrison","4,127","11","0","","3","2","6","48","17","31","0","0"
"Morton","16,462","18","0","","0","1","17","155","41","113","1","0"
"Morton Grove","23,516","31","0","","3","7","21","409","63","331","15","2"
"Mount Carmel","7,100","18","0","","0","0","18","205","37","164","4","1"
"Mount Carroll","1,652","0","0","","0","0","0","36","6","30","0","1"
"Mount Morris","2,937","1","0","","0","0","1","23","1","22","0","1"
"Mount Prospect","54,600","21","1","","1","11","8","610","67","524","19","0"
"Mount Pulaski","1,540","0","0","","0","0","0","11","1","10","0","0"
"Mount Vernon","15,203","217","0","","20","37","160","944","240","691","13","3"
"Mount Zion","5,885","6","0","","2","1","3","30","4","25","1","0"
"Moweaqua","1,785","2","0","","0","0","2","9","2","7","0","0"
"Mundelein","31,291","16","0","","6","2","8","281","34","245","2","1"
"Naperville","144,221","105","0","","7","21","77","1,869","225","1,610","34","2"
"Nashville","3,204","8","0","","1","5","2","50","6","43","1","0"
"Neoga","1,626","2","0","","0","0","2","17","6","9","2","1"
"New Athens","2,000","1","0","","0","1","0","51","13","38","0","0"
"New Lenox","24,805","21","0","","4","0","17","270","37","227","6","2"
"Newton","2,808","3","0","","0","0","3","48","11","34","3","2"
"Niles","30,008","35","0","","1","8","26","720","63","637","20","0"
"Nokomis","2,201","20","0","","0","0","20","41","5","34","2","0"
"Normal","54,241","115","1","","12","29","73","1,294","257","1,018","19","2"
"Norridge","14,676","19","0","","0","16","3","621","53","557","11","0"
"North Aurora","17,095","21","0","","3","4","14","221","39","179","3","0"
"Northbrook","33,567","8","0","","5","1","2","479","57","417","5","5"
"North Chicago","28,780","58","2","","8","7","41","119","45","70","4","4"
"Northfield","5,484","2","0","","0","1","1","50","2","47","1","0"
"Northlake","12,382","10","0","","0","3","7","376","42","325","9","1"
"North Riverside","6,698","22","0","","0","6","16","454","8","436","10","0"
"Norwood","480","0","0","","0","0","0","0","0","0","0","0"
"Oak Brook","8,022","4","0","","1","3","0","546","27","510","9","0"
"Oakbrook Terrace","2,161","2","0","","1","1","0","93","22","68","3","0"
"Oak Forest","28,211","37","1","","5","15","16","437","98","331","8","3"
"Oak Lawn","57,083","81","1","","6","30","44","1,082","113","940","29","2"
"Oak Park","52,051","126","0","","3","86","37","1,649","457","1,133","59","0"
"Oakwood Hills","2,084","3","0","","0","0","3","17","2","15","0","0"
"Oblong","1,435","18","0","","0","0","18","23","10","13","0","0"
"O'Fallon","29,388","34","0","","6","4","24","546","54","481","11","1"
"Oglesby","3,737","5","1","","0","0","4","80","12","65","3","0"
"Okawville","1,418","1","0","","0","1","0","18","2","15","1","0"
"Olney","9,084","30","0","","11","1","18","306","81","216","9","2"
"Olympia Fields","5,046","3","0","","1","2","0","184","8","170","6","1"
"Oquawka","1,308","2","0","","0","0","2","5","4","1","0","1"
"Oregon","3,641","7","1","","1","1","4","71","6","62","3","0"
"Orion","1,858","1","0","","0","0","1","9","3","6","0","1"
"Orland Park","57,578","17","0","","5","3","9","1,332","64","1,250","18","0"
"Oswego","32,057","18","0","","10","3","5","459","49","402","8","2"
"Ottawa","18,507","13","0","","0","5","8","386","36","350","0","2"
"Palatine","69,317","33","0","","8","12","13","664","27","622","15","6"
"Palestine","1,337","7","0","","0","0","7","16","7","9","0","0"
"Palos Heights","12,611","6","0","","0","2","4","157","17","134","6","1"
"Palos Hills","17,646","13","0","","0","3","10","159","15","137","7","1"
"Palos Park","4,909","0","0","","0","0","0","31","8","22","1","0"
"Pana","5,778","12","1","","0","1","10","101","35","59","7","0"
"Paris","8,612","29","0","","0","2","27","172","45","118","9","2"
"Park City","7,496","11","0","","0","8","3","132","34","90","8","0"
"Park Forest","22,052","94","1","","9","48","36","471","138","307","26","2"
"Park Ridge","37,788","15","0","","1","6","8","469","99","360","10","3"
"Patoka","571","0","0","","0","0","0","3","0","3","0","0"
"Pawnee","2,747","0","0","","0","0","0","7","1","5","1","0"
"Paxton","4,441","4","1","","0","1","2","61","14","43","4","1"
"Pekin","34,085","120","4","","7","9","100","882","167","708","7","5"
"Peoria","115,953","784","16","","24","275","469","4,415","1,123","3,098","194","37"
"Peoria Heights","6,117","24","0","","3","2","19","142","33","106","3","0"
"Peotone","4,160","7","0","","2","0","5","41","5","32","4","0"
"Peru","10,155","13","0","","5","1","7","183","26","156","1","1"
"Phoenix","1,976","10","0","","0","3","7","44","16","26","2","0"
"Pierron","587","0","0","","0","0","0","0","0","0","0","0"
"Pinckneyville","5,582","12","0","","2","0","10","24","3","19","2","0"
"Pingree Grove","5,028","2","0","","0","0","2","32","11","21","0","0"
"Plainfield","40,639","20","1","","1","5","13","426","54","367","5","3"
"Plano","11,104","2","0","","0","1","1","118","25","90","3","1"
"Pleasant Plains","807","0","0","","0","0","0","6","2","4","0","0"
"Polo","2,300","6","2","","3","0","1","20","4","15","1","0"
"Pontiac","11,802","51","4","","5","8","34","357","51","298","8","2"
"Pontoon Beach","5,732","6","0","","0","2","4","85","11","69","5","0"
"Posen","6,028","17","2","","0","8","7","150","56","82","12","4"
"Princeton","7,484","12","1","","3","4","4","171","30","137","4","0"
"Prospect Heights","16,399","27","0","","6","5","16","141","35","98","8","0"
"Quincy","40,841","188","1","","27","18","142","1,308","231","1,027","50","8"
"Raleigh","352","0","0","","0","0","0","6","3","3","0","0"
"Rantoul","12,933","106","0","","17","10","79","384","140","232","12","2"
"Red Bud","3,613","14","0","","0","0","14","34","13","21","0","0"
"Richmond","1,905","6","0","","0","0","6","28","8","20","0","1"
"Richton Park","13,768","42","0","","4","19","19","345","85","243","17","0"
"Riverdale","13,625","183","1","","10","119","53","497","209","249","39","1"
"River Forest","11,229","15","0","","1","5","9","290","91","198","1","0"
"River Grove","10,287","5","1","","0","0","4","185","41","134","10","0"
