"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Green Oak Township","17,977","22","0","7","","4","11","231","52","164","15","0"
"Greenville","8,423","33","0","18","","3","12","345","39","306","0","1"
"Grosse Ile Township","10,194","4","0","2","","0","2","44","13","30","1","0"
"Grosse Pointe","5,300","5","0","0","","1","4","97","11","76","10","0"
"Grosse Pointe Farms","9,271","7","0","0","","4","3","89","20","57","12","0"
"Grosse Pointe Park","11,287","18","1","0","","5","12","249","22","171","56","2"
"Grosse Pointe Shores","2,948","0","0","0","","0","0","19","6","13","0","0"
"Grosse Pointe Woods","15,760","19","0","2","","4","13","220","36","163","21","1"
"Hamburg Township","21,455","5","0","1","","0","4","162","33","121","8","2"
"Hampton Township","9,555","13","0","7","","2","4","274","92","175","7","0"
"Hamtramck","22,017","366","3","13","","159","191","814","244","334","236","5"
"Hancock","4,614","4","0","3","","0","1","44","6","36","2","0"
"Harbor Beach","1,659","6","0","1","","0","5","45","24","21","0","0"
"Harbor Springs","1,204","1","0","1","","0","0","28","5","23","0","0"
"Harper Woods","13,922","169","2","7","","58","102","979","124","680","175","2"
"Hart","2,103","4","0","1","","0","3","138","13","125","0","0"
"Hartford","2,633","10","0","0","","1","9","34","6","26","2","0"
"Hastings","7,288","14","0","10","","0","4","143","25","112","6","0"
"Hazel Park","16,642","76","0","13","","24","39","436","90","283","63","2"
"Highland Park","11,591","187","6","16","","67","98","577","155","267","155","10"
"Hillsdale","8,188","32","0","13","","0","19","168","32","132","4","0"
"Holland","33,354","137","0","37","","7","93","1,069","188","858","23","5"
"Holly","6,150","9","0","2","","1","6","92","26","63","3","3"
"Hopkins","607","0","0","0","","0","0","4","1","3","0","0"
"Houghton","7,699","8","1","7","","0","0","111","5","106","0","1"
"Howard City","1,786","6","0","4","","0","2","61","16","42","3","0"
"Howell","9,514","28","0","13","","2","13","184","17","158","9","2"
"Huntington Woods","6,305","1","0","0","","1","0","65","12","49","4","0"
"Huron Township","15,607","38","0","10","","1","27","203","52","129","22","0"
"Imlay City","3,586","14","0","2","","3","9","81","11","68","2","1"
"Inkster","24,850","396","15","25","","73","283","1,034","447","457","130","19"
"Ionia","11,434","21","2","14","","0","5","208","30","175","3","4"
"Iron River","2,951","5","0","3","","0","2","125","30","83","12","0"
"Ironwood","5,202","13","0","1","","0","12","91","16","73","2","0"
"Ishpeming","6,582","8","0","0","","1","7","100","11","83","6","0"
"Ishpeming Township","3,579","0","0","0","","0","0","11","0","10","1","0"
"Jackson","33,378","370","4","59","","61","246","1,732","433","1,220","79","15"
"Jonesville","2,231","2","0","0","","1","1","71","3","66","2","0"
"Kalkaska","2,017","0","0","0","","0","0","25","0","25","0","0"
"Keego Harbor","3,013","5","0","1","","0","4","57","13","41","3","0"
"Kentwood","50,016","141","2","34","","23","82","1,213","238","932","43","6"
"Kinde","438","0","0","0","","0","0","0","0","0","0","0"
"Kinross Township","7,821","3","0","1","","0","2","27","10","17","0","1"
"Laingsburg","1,262","2","0","1","","0","1","14","4","10","0","0"
"Lake Linden","1,001","1","0","0","","0","1","13","1","12","0","0"
"Lake Odessa","2,017","5","0","2","","1","2","19","2","16","1","0"
"Lake Orion","3,052","2","0","0","","1","1","40","3","36","1","0"
"Lansing","113,907","1,204","8","127","","256","813","3,960","1,268","2,329","363","31"
"Lapeer","8,819","42","0","17","","1","24","375","33","338","4","2"
"Lapeer Township","5,052","1","0","0","","0","1","26","4","21","1","0"
"Lathrup Village","4,128","3","0","0","","2","1","70","10","55","5","0"
"Laurium","1,962","1","0","1","","0","0","24","3","20","1","0"
"Lawton","1,870","4","0","2","","0","2","32","7","25","0","0"
"Lennon","500","0","0","0","","0","0","10","2","8","0","0"
"Lincoln Park","37,295","232","1","19","","51","161","1,343","299","895","149","5"
"Lincoln Township","14,618","18","0","8","","0","10","173","21","147","5","0"
"Linden","3,897","8","0","2","","1","5","27","5","22","0","0"
"Litchfield","1,355","2","0","0","","0","2","30","4","24","2","1"
"Livonia","95,220","148","0","18","","34","96","1,961","285","1,498","178","11"
"Lowell","3,858","26","0","7","","0","19","127","13","110","4","1"
"Ludington","8,035","25","0","14","","1","10","197","38","156","3","0"
"Luna Pier","1,417","1","0","1","","0","0","34","6","27","1","0"
"Mackinac Island","494","2","0","0","","0","2","208","3","204","1","0"
"Mackinaw City","808","3","0","2","","0","1","37","4","33","0","0"
"Madison Heights","30,080","78","0","10","","17","51","862","107","656","99","6"
"Madison Township","8,567","7","0","2","","1","4","78","4","74","0","0"
"Mancelona","1,379","2","0","0","","0","2","15","3","11","1","0"
"Manistee","6,158","11","0","3","","0","8","158","33","122","3","0"
"Manistique","3,031","7","0","2","","0","5","79","12","66","1","1"
"Marlette","1,828","7","0","3","","0","4","27","1","26","0","0"
"Marquette","21,590","19","0","9","","2","8","321","31","284","6","0"
"Marshall","7,050","16","0","4","","2","10","155","17","133","5","0"
"Marysville","9,763","2","0","0","","1","1","185","30","152","3","0"
"Mason","8,246","7","0","2","","1","4","167","34","122","11","0"
"Mattawan","1,971","1","0","0","","1","0","28","3","24","1","0"
"Mayville","928","1","0","0","","0","1","16","3","13","0","0"
"Melvindale","10,473","34","0","6","","5","23","307","60","215","32","3"
"Memphis","1,178","4","0","0","","0","4","12","4","7","1","1"
"Menominee","8,476","20","0","10","","0","10","191","38","150","3","0"
"Meridian Township","40,609","116","4","22","","31","59","931","168","739","24","4"
"Metamora Township","4,238","2","0","0","","0","2","42","14","27","1","0"
"Michiana","182","0","0","0","","0","0","0","0","0","0","0"
"Milan","5,875","11","1","6","","0","4","140","19","113","8","0"
"Milford","16,170","12","0","4","","1","7","90","26","62","2","0"
"Monroe","20,474","110","1","25","","23","61","714","151","521","42","1"
"Montrose Township","7,706","11","0","5","","0","6","193","112","79","2","0"
"Morenci","2,190","5","0","2","","0","3","28","4","22","2","0"
"Morrice","899","0","0","0","","0","0","11","1","10","0","0"
"Mount Morris","3,012","25","0","2","","6","17","88","10","76","2","3"
"Mount Morris Township","20,990","149","4","31","","39","75","896","352","488","56","6"
"Mount Pleasant","26,238","58","0","10","","10","38","491","76","399","16","6"
"Mundy Township","14,781","23","1","2","","3","17","349","189","153","7","1"
"Munising","2,325","2","0","1","","0","1","42","4","36","2","0"
"Muskegon","36,658","325","3","47","","70","205","1,970","649","1,262","59","10"
"Muskegon Heights","10,768","206","3","27","","45","131","707","203","449","55","6"
"Napoleon Township","6,771","2","0","0","","0","2","57","20","37","0","0"
"Nashville","1,622","2","0","1","","0","1","26","3","18","5","0"
"Negaunee","4,650","2","0","1","","0","1","87","20","65","2","0"
"Newaygo","1,961","18","0","11","","0","7","78","10","66","2","4"
"New Baltimore","12,148","9","0","2","","0","7","68","7","59","2","2"
"Niles","11,471","54","0","14","","6","34","304","45","241","18","2"
"Northfield Township","8,387","15","0","10","","0","5","119","42","71","6","0"
"North Muskegon","3,756","5","0","1","","0","4","83","3","75","5","0"
"Northville","5,992","4","0","1","","1","2","51","9","41","1","0"
"Northville Township","28,734","18","0","5","","0","13","364","51","299","14","1"
"Novi","57,469","48","2","7","","11","28","966","96","833","37","1"
"Oakley","285","3","0","3","","0","0","3","3","0","0","0"
"Oak Park","29,684","180","2","19","","61","98","808","207","480","121","7"
"Olivet","1,610","1","0","0","","0","1","10","2","7","1","0"
"Orchard Lake","2,424","3","0","0","","2","1","35","6","27","2","0"
"Oscoda Township","6,819","20","1","12","","0","7","237","112","121","4","1"
"Otisville","840","0","0","0","","0","0","8","1","7","0","0"
"Otsego","3,953","8","0","3","","0","5","66","8","57","1","0"
"Ovid","1,608","1","0","0","","0","1","8","0","5","3","0"
"Owosso","14,745","55","0","16","","2","37","432","86","339","7","3"
"Oxford","3,476","6","0","1","","1","4","33","6","25","2","0"
"Paw Paw","3,470","11","0","2","","0","9","135","19","115","1","0"
"Pentwater","849","0","0","0","","0","0","14","0","13","1","0"
"Perry","2,104","2","0","2","","0","0","25","9","15","1","0"
"Petoskey","5,722","1","0","0","","0","1","77","14","59","4","1"
"Pinckney","2,461","0","0","0","","0","0","39","3","34","2","0"
"Pinconning","1,288","0","0","0","","0","0","16","1","15","0","1"
"Pittsfield Township","36,091","69","1","13","","16","39","724","79","602","43","1"
"Plainwell","3,798","10","0","4","","3","3","42","5","34","3","0"
"Pleasant Ridge","2,550","5","0","0","","4","1","23","8","14","1","0"
"Plymouth","8,949","14","0","3","","2","9","89","13","75","1","4"
"Plymouth Township","27,076","18","0","5","","3","10","296","46","231","19","0"
"Portage","47,387","88","1","22","","12","53","1,606","162","1,408","36","2"
"Port Huron","29,542","179","3","25","","31","120","912","227","632","53","4"
"Potterville","2,613","0","0","0","","0","0","74","6","68","0","0"
"Raisin Township","7,468","0","0","0","","0","0","10","0","9","1","0"
"Reading","1,063","0","0","0","","0","0","10","0","10","0","0"
"Redford Township","47,432","244","1","35","","71","137","1,538","479","731","328","9"
"Reed City","2,396","7","0","2","","1","4","55","8","45","2","0"
"Reese","1,421","1","0","0","","0","1","21","1","9","11","0"
"Richfield Township, Genesee County","8,523","10","0","7","","0","3","94","34","55","5","0"
"Richfield Township, Roscommon County","3,663","10","0","4","","1","5","51","10","37","4","1"
"Richland","768","0","0","0","","0","0","1","0","0","1","0"
"Richmond","5,741","17","0","5","","0","12","121","8","112","1","1"
"River Rouge","7,723","84","0","4","","23","57","281","98","142","41","14"
"Riverview","12,267","19","0","6","","4","9","149","23","117","9","3"
"Rochester","12,947","9","0","1","","0","8","109","18","89","2","0"
"Rockford","5,894","7","0","5","","0","2","88","11","76","1","0"
"Rockwood","3,221","2","0","0","","1","1","32","2","28","2","0"
"Rogers City","2,764","3","0","2","","0","1","44","7","37","0","0"
"Romeo","3,597","5","0","0","","0","5","35","3","31","1","0"
"Romulus","23,483","138","1","26","","18","93","698","175","420","103","11"
"Roosevelt Park","3,800","7","0","3","","2","2","266","15","245","6","1"
"Roseville","47,327","218","0","47","","69","102","1,972","345","1,433","194","6"
"Royal Oak","58,804","99","0","21","","21","57","791","120","607","64","1"
"Saginaw","50,580","985","29","64","","129","763","1,492","746","644","102","18"
"Saginaw Township","40,636","96","0","9","","26","61","869","132","705","32","0"
"Saline","9,028","11","0","1","","1","9","129","30","96","3","1"
"Sand Lake","512","0","0","0","","0","0","11","3","8","0","0"
"Sandusky","2,624","4","0","1","","0","3","43","4","38","1","0"
"Saugatuck-Douglas","2,173","5","0","1","","0","4","62","13","48","1","0"
