"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Glen Park Village","504","0","0","0","0","0","2","0","2","0","0"
"Glens Falls","14,766","44","0","2","5","37","410","68","331","11","1"
"Gloversville","15,735","37","0","7","6","24","648","153","474","21","2"
"Goshen Town","8,266","2","0","0","0","2","78","21","53","4","0"
"Goshen Village","5,479","3","0","0","0","3","78","7","70","1","0"
"Gouverneur Village","3,967","10","0","2","0","8","332","71","257","4","0"
"Gowanda Village","2,721","6","0","0","1","5","52","17","32","3","0"
"Granville Village","2,554","3","0","0","2","1","34","9","25","0","0"
"Great Neck Estates Village","2,773","0","0","0","0","0","3","2","1","0","0"
"Greece Town","96,527","135","0","6","48","81","2,544","355","2,081","108","5"
"Greenburgh Town","43,055","57","1","3","11","42","698","80","598","20","0"
"Greene Village","1,587","0","0","0","0","0","0","0","0","0","0"
"Green Island Village","2,632","2","0","0","0","2","63","12","45","6","0"
"Greenport Town","4,184","1","0","0","0","1","120","6","112","2","0"
"Greenwich Village","1,785","2","0","0","0","2","44","9","34","1","0"
"Greenwood Lake Village","3,168","3","0","0","1","2","21","12","9","0","0"
"Groton Village","2,374","2","0","0","0","2","69","15","53","1","0"
"Guilderland Town","33,734","27","0","1","10","16","844","79","759","6","0"
"Hamburg Town","45,177","51","0","1","17","33","1,036","151","850","35",""
"Hamburg Village","9,451","8","0","4","0","4","213","35","175","3","0"
"Hamilton Village","4,258","1","0","0","0","1","29","4","24","1","0"
"Hammondsport Village","664","0","0","0","0","0","13","1","12","0","0"
"Hancock Village","1,036","8","0","0","0","8","8","0","7","1","0"
"Harriman Village","2,435","4","0","0","0","4","7","2","5","0","0"
"Hastings-on-Hudson Village","7,884","2","0","0","1","1","107","9","98","0","3"
"Haverstraw Town","36,799","85","2","4","34","45","427","112","302","13","3"
"Hempstead Village","54,133","439","8","10","207","214","1,049","295","600","154","8"
"Herkimer Village","7,778","64","0","3","10","51","363","65","298","0","1"
"Holley Village","1,819","5","0","0","0","5","49","14","33","2","0"
"Homer Village","3,306","1","0","0","0","1","38","6","32","0","0"
"Hornell","8,601","8","0","2","1","5","129","14","113","2","1"
"Horseheads Village","6,490","4","0","0","0","4","131","12","117","2","0"
"Hudson Falls Village","7,314","17","0","4","2","11","143","31","110","2","0"
"Hunter Town","2,744","1","0","0","0","1","0","0","0","0","0"
"Huntington Bay Village","1,431","0","0","0","0","0","9","3","6","0","0"
"Hyde Park Town","21,668","19","1","4","3","11","170","49","107","14","1"
"Ilion Village","8,089","20","0","1","2","17","153","23","127","3","0"
"Independence Town","1,172","0","0","0","0","0","9","1","8","0","0"
"Inlet Town","334","0","0","0","0","0","13","4","8","1","0"
"Irondequoit Town","51,924","114","0","11","51","52","1,506","284","1,163","59","2"
"Irvington Village","6,449","2","0","0","1","1","24","3","18","3","0"
"Jamestown","31,286","203","0","22","36","145","1,124","335","753","36","11"
"Johnson City Village","15,242","50","0","3","7","40","891","125","751","15","1"
"Johnstown","8,782","8","0","0","1","7","330","50","273","7","0"
"Jordan Village","1,374","0","0","0","0","0","4","1","2","1","0"
"Kenmore Village","15,492","17","1","0","6","10","296","57","231","8","0"
"Kensington Village","1,166","0","0","0","0","0","3","0","3","0","0"
"Kent Town","13,568","1","0","0","0","1","88","26","60","2","0"
"Kings Point Village","5,027","2","0","0","1","1","10","2","8","0","0"
"Kingston","24,000","93","0","8","34","51","580","115","450","15","3"
"Kirkland Town","8,410","0","0","0","0","0","110","33","73","4","0"
"Lackawanna","18,223","130","0","10","21","99","440","107","309","24","4"
"Lake Placid Village","2,532","4","0","3","0","1","53","10","43","0","0"
"Lake Success Village","2,947","2","0","0","1","1","22","2","20","0","0"
"Lakewood-Busti","7,384","2","0","1","0","1","219","21","195","3","0"
"Lancaster Town","25,431","15","0","2","4","9","492","67","412","13","1"
"Larchmont Village","5,890","3","0","0","2","1","127","24","100","3","0"
"Le Roy Village","4,411","8","0","0","1","7","87","13","71","3","1"
"Lewisboro Town","12,467","0","0","0","0","0","26","1","25","0","0"
"Liberty Village","4,412","34","0","4","6","24","244","75","160","9","0"
"Lloyd Harbor Village","3,676","0","0","0","0","0","22","2","20","0","0"
"Lloyd Town","10,912","0","0","0","0","0","111","23","82","6","2"
"Lockport","21,260","67","1","12","14","40","734","133","584","17","3"
"Long Beach","33,425","40","0","0","11","29","275","25","237","13","0"
"Lowville Village","3,486","8","0","3","0","5","92","9","79","4","0"
"Lynbrook Village","19,514","22","1","0","10","11","165","19","132","14","0"
"Lyons Village","3,635","22","0","3","4","15","125","36","89","0","0"
"Macedon Town and Village","9,189","2","0","0","0","2","30","3","26","1","0"
"Malone Village","5,938","8","0","4","2","2","296","46","245","5","0"
"Malverne Village","8,552","0","0","0","0","0","27","5","22","0","0"
"Mamaroneck Town","12,031","7","0","0","2","5","127","13","109","5","0"
"Mamaroneck Village","19,014","27","0","2","8","17","171","28","128","15","0"
"Manchester Village","1,717","0","0","0","0","0","0","0","0","0","0"
"Manlius Town","24,657","24","0","1","4","19","400","51","340","9","0"
"Marlborough Town","8,848","9","0","0","0","9","155","27","122","6","2"
"Massena Village","10,985","27","0","3","4","20","394","80","307","7","1"
"Mechanicville","5,219","16","0","2","5","9","59","19","35","5","0"
"Medina Village","6,092","20","0","3","5","12","230","46","179","5","1"
"Menands Village","4,008","5","0","1","3","1","140","23","115","2","0"
"Middleport Village","1,848","0","0","0","0","0","28","5","21","2","0"
"Middletown","28,212","163","2","9","57","95","947","167","755","25","2"
"Monroe Village","8,402","8","0","1","0","7","208","22","182","4","0"
"Montgomery Village","3,831","2","0","0","0","2","32","2","30","0","0"
"Monticello Village","6,756","76","0","3","14","59","266","105","150","11","1"
"Moravia Village","1,288","1","0","0","0","1","21","3","18","0","0"
"Moriah Town","3,621","1","0","0","0","1","5","1","4","0","0"
"Mount Hope Town","7,050","0","0","0","0","0","29","10","16","3","0"
"Mount Kisco Village","10,926","33","0","1","12","20","163","14","144","5","0"
"Mount Morris Village","2,999","4","0","0","0","4","62","6","54","2","0"
"Mount Pleasant Town","26,294","10","0","0","2","8","305","33","265","7",""
"Mount Vernon","67,594","658","6","9","249","394","1,459","296","1,012","151","5"
"Nassau Village","1,138","2","0","0","0","2","19","3","16","0","0"
"Newark Village","9,186","27","0","6","10","11","349","63","279","7","2"
"New Berlin Town","1,661","1","0","0","0","1","22","10","11","1","0"
"Newburgh","28,996","527","4","11","254","258","1,243","401","782","60","10"
"Newburgh Town","29,935","41","0","0","21","20","1,124","113","975","36","1"
"New Castle Town","17,648","5","0","0","0","5","109","19","87","3","0"
"New Hartford Town and Village","20,580","20","0","2","4","14","744","68","668","8","0"
"New Paltz Town and Village","14,066","33","0","4","4","25","248","29","214","5","1"
"New Rochelle","77,408","214","2","2","118","92","1,343","166","1,100","77","2"
"New Windsor Town","25,357","26","0","3","5","18","498","95","391","12","1"
"New York","8,211,875","51,209","515","1,092","19,773","29,829","140,457","18,159","112,864","9,434",""
"Niagara Falls","50,419","581","4","31","174","372","2,941","849","1,904","188","18"
"Niagara Town","8,416","22","0","2","4","16","422","53","355","14","1"
"Niskayuna Town","21,879","13","0","0","5","8","358","61","281","16","1"
"Nissequogue Village","1,757","0","0","0","0","0","10","4","6","0","0"
"Norfolk Town","4,607","1","0","1","0","0","27","9","17","1","0"
"North Castle Town","11,894","4","0","1","1","2","47","9","37","1","0"
"North Greenbush Town","12,129","9","1","1","2","5","219","36","178","5","0"
"Northport Village","7,434","3","0","0","2","1","80","12","66","2","0"
"North Syracuse Village","6,831","26","0","0","2","24","155","19","131","5","1"
"North Tonawanda","31,710","47","0","4","19","24","607","137","438","32","0"
"Northville Village","1,104","0","0","0","0","0","9","0","9","0","0"
"Norwich","7,222","21","0","5","3","13","332","55","275","2","1"
"Nunda Town and Village","3,078","1","0","0","0","1","12","5","7","0","0"
"Ocean Beach Village","79","1","0","0","0","1","27","0","26","1","0"
"Ogdensburg","11,178","26","0","0","2","24","478","125","350","3","2"
"Ogden Town","19,945","14","0","1","1","12","255","43","202","10","0"
"Old Westbury Village","4,692","0","0","0","0","0","39","15","24","0","0"
"Olean","14,517","65","0","5","7","53","549","65","483","1","3"
"Olive Town","4,439","0","0","0","0","0","3","2","1","0","0"
"Oneida","11,444","16","0","3","2","11","496","73","414","9","0"
"Oneonta City","13,963","69","0","1","8","60","392","106","281","5","2"
"Orangetown Town","36,998","51","1","1","12","37","360","46","298","16","1"
"Orchard Park Town","29,185","15","0","2","2","11","381","62","304","15","2"
"Oriskany Village","1,406","0","0","0","0","0","21","7","14","0","0"
"Ossining Village","25,173","44","0","1","25","18","234","42","181","11","0"
"Oswego City","18,224","72","0","8","11","53","679","114","534","31","2"
"Owego Village","3,914","8","0","0","2","6","77","22","53","2","0"
"Oxford Village","1,457","0","0","0","0","0","8","3","5","0","0"
"Oyster Bay Cove Village","2,207","0","0","0","0","0","5","2","3","0","0"
