"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Liberty Township","12,071","17","0","4","5","8","250","61","182","7","0"
"Lima","38,799","404","1","48","97","258","2,262","786","1,357","119","20"
"Lincoln Heights","3,288","11","0","2","5","4","47","13","32","2","1"
"Liverpool Township","4,050","1","0","1","0","0","51","11","39","1","0"
"Lockland","3,452","21","0","0","17","4","161","62","92","7","2"
"Logan","7,157","9","1","3","4","1","446","87","350","9","1"
"London","9,911","8","0","1","1","6","302","58","232","12","1"
"Lorain","64,144","318","4","37","138","139","3,190","1,320","1,738","132","24"
"Lordstown","3,420","0","0","0","0","0","89","19","66","4","0"
"Loudonville","2,643","0","0","0","0","0","71","10","59","2","0"
"Louisville","9,183","6","0","2","3","1","235","53","176","6","1"
"Loveland","12,090","5","0","1","2","2","155","24","124","7","0"
"Madeira","8,732","1","0","1","0","0","51","4","47","0","0"
"Madison","3,186","1","0","0","1","0","36","9","26","1","0"
"Madison Township, Franklin County","18,041","9","0","0","6","3","224","76","143","5","0"
"Madison Township, Lake County","15,711","35","0","4","2","29","208","35","163","10","2"
"Mansfield","47,856","171","3","32","86","50","3,063","913","2,044","106","15"
"Mariemont","3,405","1","1","0","0","0","74","0","74","0","0"
"Marietta","14,095","13","0","2","3","8","204","32","167","5","3"
"Marion","36,864","98","3","15","52","28","2,501","865","1,586","50","14"
"Martins Ferry","6,920","8","0","1","3","4","66","16","50","0","0"
"Marysville","22,110","12","0","7","4","1","442","64","374","4","1"
"Mason","30,734","10","0","2","1","7","441","54","377","10","1"
"Massillon","32,173","87","0","15","37","35","1,209","348","832","29","12"
"Mayfield Heights","19,169","13","0","0","10","3","369","34","320","15","3"
"McArthur","1,702","4","0","0","2","2","63","15","43","5","0"
"McComb","1,649","0","0","0","0","0","10","1","9","0","0"
